user_id,is_active,change_button_link,videos_uploaded,save_edit_placeholder,publishes,change_button_name,w_sessions,change_placeholder_title,w_watches,w_auth_watchers,w_customers,w_revenue
sbe83sr584,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,
rd0gznt8m5,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,
u8p9vjs24q,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,
bw5aalpljp,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
gmqyx86x1j,0.0,0.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
mfocp1zdki,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4gynek4e5f,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,
hy0a3fw6p3,0.0,0.0,4.0,4.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,
klcaw9g37x,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
y2y7hqvuqp,0.0,2.0,4.0,5.0,9.0,2.0,13.0,5.0,0.0,0.0,0.0,
zcdvbh5ess,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
czuebkjv02,0.0,0.0,4.0,1.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,
x3u86m7nh2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
v81kex4q9w,0.0,2.0,4.0,4.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,
6d3bzmelrp,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
zyuk8br6tg,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,
l04po5dsf6,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
jcnnw13sr1,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
fx32jmij6i,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,
rbi5k6q0fa,0.0,0.0,4.0,2.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,
axtfx6t38e,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a8ntteulsb,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,
6l21k3ntjb,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
m3pd2t6did,0.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,
xkex8t90r0,0.0,0.0,11.0,26.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,
wiiqfro0ub,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,
j2xxupoj6r,0.0,0.0,4.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,
iftn0fkliw,0.0,0.0,3.0,3.0,4.0,0.0,711.0,3.0,555.0,11.0,0.0,
knvd8m8ejm,0.0,0.0,3.0,2.0,7.0,0.0,76.0,0.0,37.0,4.0,2.0,20.0
7tgbqf7eka,0.0,0.0,3.0,1.0,4.0,0.0,20.0,2.0,33.0,1.0,0.0,
4ku4f77s7l,0.0,0.0,3.0,3.0,2.0,0.0,48.0,0.0,27.0,1.0,0.0,
tyjf30evsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
xo2e23bhlm,0.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,27.0,1.0,0.0,
33mrydovrh,0.0,0.0,3.0,0.0,4.0,0.0,34.0,0.0,24.0,1.0,0.0,
w17xlsl52n,0.0,0.0,3.0,0.0,5.0,0.0,12.0,0.0,21.0,1.0,0.0,
7tzzlsabfe,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
e8slzljybl,0.0,0.0,3.0,5.0,7.0,0.0,15.0,4.0,15.0,1.0,0.0,
1vc0tbdm8u,0.0,3.0,3.0,3.0,5.0,2.0,66.0,9.0,13.0,2.0,0.0,
kb2o1vqngl,0.0,0.0,3.0,6.0,2.0,0.0,11.0,0.0,11.0,1.0,0.0,
e2ng1yc35v,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,10.0,2.0,0.0,
